GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS823469568,2021-04-02 4:13:46,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2009-01-15,10:00:00,obsr252189,S61119295,Traveling,P22,EBIRD,190,4.828,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549147811,2024-12-10 13:40:23,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-01-15,,obsr761571,S38341805,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS61701003,2022-06-04 23:39:24,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Don Edwards WLR - La Riviere Marsh,L636344,P,37.5456662,-122.0292664,2009-01-18,9:00:00,obsr57626,S4476701,Area,P23,EBIRD,90,,60.7028,27,1,,0,1,0,,Ohlone Audubon trip. The PEREGINE FALCON (1 OF 2 PAIRED OFF) LUNCHED ITSELF TWICE AND DOVE INTO THE MARSH ONCE AFTER sandpipers and once after a Snowy Egret.,
URN:CornellLabOfOrnithology:EBIRD:OBS265119426,2018-08-03 0:28:38,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Shadow Cliffs Regional Park,L391767,H,37.6692148,-121.8406105,2009-01-02,12:29:00,obsr297774,S19220718,Traveling,P22,EBIRD,280,1.609,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS61623489,2022-06-08 12:20:46,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,32,USFWS_608,,Don Edwards NWR (ALA Co.),L500360,H,37.5316305,-122.0733619,2009-01-18,9:00:00,obsr108152,S4472217,Traveling,P22,EBIRD,180,3.219,,25,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS340813716,2024-09-09 22:01:10,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-01-10,,obsr610790,S24764092,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549157778,2024-12-10 13:40:23,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-01-19,,obsr761571,S38341809,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS180590268,2022-06-08 12:21:01,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,32,USFWS_608,,Don Edwards NWR (ALA Co.),L500360,H,37.5316305,-122.0733619,2009-01-18,8:30:00,obsr240280,S12931599,Traveling,P22,EBIRD,180,4.828,,9,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS634632698,2021-04-01 2:10:03,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Lake Temescal,L288287,H,37.8467336,-122.2303775,2009-02-11,,obsr263087,S46810642,Historical,P62,EBIRD,60,1.609,,1,1,,0,1,0,,"Overcast, cool.  Fox Squirrel.  Red-eared Slider:  10.",
URN:CornellLabOfOrnithology:EBIRD:OBS549168204,2022-08-01 16:59:02,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-02-09,,obsr761571,S38341824,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549169145,2024-09-09 22:40:47,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-02-24,,obsr761571,S38341833,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS62244967,2024-12-10 13:40:23,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-02-01,10:30:00,obsr108152,S4519145,Traveling,P22,EBIRD,120,0.402,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS180593967,2018-08-03 0:34:46,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,2009-03-28,8:30:00,obsr240280,S12931882,Traveling,P22,EBIRD,180,6.437,,10,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS67016596,2021-04-02 4:13:46,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,2009-03-28,8:30:00,obsr108152,S4796121,Traveling,P22,EBIRD,180,1.609,,30,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS67030638,2021-04-02 4:13:46,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,2009-03-28,8:30:00,obsr159439,S4796867,Traveling,P22,EBIRD,195,3.219,,23,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS68167870,2021-04-01 2:10:03,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Garin/Dry Creek Pioneer Regional Park,L381784,H,37.6284527,-122.028392,2009-04-14,9:30:00,obsr108152,S4863809,Traveling,P22,EBIRD,180,2.414,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS67998712,2016-08-09 15:15:38,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Shadow Cliffs Regional Park,L391767,H,37.6692148,-121.8406105,2009-04-11,9:15:00,obsr122985,S4851924,Traveling,P22,EBIRD,105,2.414,,2,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS67753786,2021-04-01 2:10:03,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Quarry Lakes Regional Park,L481727,H,37.5747869,-122.0059204,2009-04-07,14:00:00,obsr159439,S4835738,Traveling,P22,EBIRD,60,0.805,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549321876,2022-09-15 23:48:44,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-04-05,,obsr761571,S38341879,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549420587,2021-04-01 2:10:03,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-04-21,,obsr761571,S38341903,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS71889060,2009-06-21 16:37:47,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Livermore,L142282,T,37.6818314,-121.7680588,2009-06-21,,obsr180867,S5102134,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1903748047,2023-12-23 0:10:35,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Along I-880,L28389529,P,37.4637211,-121.9263776,2009-06-05,,obsr26973,S156901633,Historical,P62,EBIRD,,,,,0,,0,1,0,,,Flew over the freeway at about this location while I was driving down the highway.
URN:CornellLabOfOrnithology:EBIRD:OBS549740497,2022-07-04 0:07:00,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-06-18,,obsr761571,S38352144,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS71864456,2021-04-01 2:10:03,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,32,,,Eden Landing Ecological Reserve,L279219,P,37.5804289,-122.1135081,2009-06-20,8:30:00,obsr34360,S5100204,Traveling,P22,EBIRD,180,8.047,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549811221,2022-06-10 19:41:21,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-07-31,,obsr761571,S38353602,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549778951,2022-11-03 14:36:52,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-07-08,,obsr761571,S38352359,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS73285322,2009-07-31 14:28:47,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_141,,,,"Fleming Point, East Bay Shore State Park",L763250,P,37.8858959,-122.3161662,2009-07-26,13:25:00,obsr192948,S5210543,Incidental,P20,EBIRD,15,1.609,0.4047,2,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549810300,2022-06-29 22:48:21,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-07-30,,obsr761571,S38353572,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549812385,2024-12-11 17:41:08,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-08-02,,obsr761571,S38353720,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS239362723,2021-04-01 2:10:03,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Edgemoor Street,L2258609,P,37.6834467,-122.1502018,2009-08-17,7:30:00,obsr276807,S17407126,Stationary,P21,EBIRD,720,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549882665,2024-12-12 15:24:29,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-08-20,,obsr761571,S38354538,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS549888066,2024-12-11 17:41:08,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,Hayward Regional Shoreline,L225431,H,37.6419316,-122.1517012,2009-08-29,,obsr761571,S38354663,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
