GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS343393074,2021-04-01 2:55:12,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Contra Costa,US-CA-013,,32,,,Lamorinda-general area,L1127556,P,37.8661808,-122.137413,2000-01-02,,obsr114200,S25108195,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS116502060,2021-04-01 2:55:12,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Contra Costa,US-CA-013,,32,,,Lamorinda-general area,L1127556,P,37.8661808,-122.137413,2000-01-02,,obsr114200,S8132625,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS70955320,2020-06-26 9:12:14,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,2,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26228|US-CA_215,33,,,Salton Sea--Obsidian Butte,L267757,H,33.1722397,-115.6427077,2000-01-26,8:00:00,obsr125809,S5025692,Traveling,P22,EBIRD,270,5.633,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS445613331,2024-09-09 22:21:37,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26228|US-CA_215,33,,,Salton Sea--Obsidian Butte,L267757,H,33.1722397,-115.6427077,2000-01-16,,obsr190782,S32741827,Historical,P62,EBIRD,,,,2,1,G4635077,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS823621516,2024-09-09 23:31:59,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26228|US-CA_215,33,,,Salton Sea--Obsidian Butte,L267757,H,33.1722397,-115.6427077,2000-01-16,,obsr570004,S61129830,Historical,P62,EBIRD,,,,2,1,G4635077,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS77494283,2024-09-09 23:27:39,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26228|US-CA_215,33,USFWS_181,,Salton Sea--south end (please use more specific locations),L326350,H,33.1923574,-115.6041527,2000-01-15,20:00:00,obsr158843,S5517309,Traveling,P22,EBIRD,540,40.233,,15,1,,0,1,0,,Gene Cardiff''s UCR Extension class,
URN:CornellLabOfOrnithology:EBIRD:OBS1779709227,2023-10-22 4:16:50,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Sheldon Reservoir,L370774,H,32.890597,-115.6255245,2000-01-20,15:10:00,obsr53545,S144117081,Historical,P62,EBIRD,40,,,,1,,0,1,0,,"with Maryann Danielson, Jean-Marie Spoelman, and other MAD birders",
URN:CornellLabOfOrnithology:EBIRD:OBS1779723906,2024-09-09 21:19:48,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Salton Sea--Poe Rd.,L686135,H,33.0972222,-115.7527256,2000-01-22,8:55:00,obsr53545,S144121891,Historical,P62,EBIRD,40,,,,1,,0,1,0,,"with Maryann Danielson, Jean-Marie Spoelman, and other MAD birders",
URN:CornellLabOfOrnithology:EBIRD:OBS1971767944,2024-03-29 20:25:39,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,2,,,,,United States,US,California,US-CA,Kern,US-CA-029,,32,,,Tillie Creek Lakeshore,L29675405,P,35.7004606,-118.4567807,2000-01-16,15:00:00,obsr718596,S163839557,Traveling,P22,EBIRD,120,1.609,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS324728881,2018-08-29 16:11:57,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Kern,US-CA-029,,32,,,US-CA-Kern--SQF--Wofford Heights--Wofford Heights Park,L444314,P,35.7049835,-118.4508133,2000-01-22,10:00:00,obsr103797,S23756606,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
