GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS344383317,2021-04-01 2:55:12,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Contra Costa,US-CA-013,,32,,,Briones Regional Park,L212641,H,37.9380572,-122.1346222,1996-01-28,,obsr166210,S25176220,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,/b/m/x/x Briones Reservoir
URN:CornellLabOfOrnithology:EBIRD:OBS889868157,2021-04-01 2:17:02,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Imperial,US-CA-025,,33,,,Imperial Dam,L353749,H,32.8819198,-114.4665626,1996-01-05,,obsr951175,S66719918,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS723165906,2019-03-11 18:41:55,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Kern,US-CA-029,US-CA_163,32,,,Kern River Percolation Ponds,L4924549,P,35.3404744,-119.1711473,1996-01-13,15:45:00,obsr537203,S53718096,Traveling,P22,EBIRD,105,3.219,,1,1,,0,1,0,,Only moved along the South levee from Allen to Renfro.  Hazy.,
URN:CornellLabOfOrnithology:EBIRD:OBS71613314,2024-08-30 18:57:13,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Malibu Lagoon--State Beach including Lagoon,L597658,H,34.0333857,-118.6822987,1996-01-15,12:15:00,obsr21348,S5082186,Area,P23,EBIRD,75,,20,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS601012592,2023-09-05 14:35:52,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Castaic Lagoon,L279651,H,34.5049298,-118.610158,1996-01-02,,obsr113508,S44647279,Historical,P62,EBIRD,,,,2,0,,0,1,0,,John Stonick.,
URN:CornellLabOfOrnithology:EBIRD:OBS654333565,2024-09-09 22:59:10,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Marin,US-CA-041,,32,,,Bolinas Lagoon--Pine Gulch,L590288,H,37.9209857,-122.6904202,1996-01-06,,obsr264917,S48302772,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS887705424,2024-09-09 23:55:59,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Monterey,US-CA-053,BIRDLIFE_29509|US-CA_121,,,,Andrew Molera SP--Big Sur River mouth,L109487,H,36.2819875,-121.8595805,1996-01-28,8:00:00,obsr332747,S66547307,Historical,P62,EBIRD,240,4.828,,5,1,,0,1,0,,"Birded w/Booker, Rydell, Fournier, Roberson, & Davis.",
URN:CornellLabOfOrnithology:EBIRD:OBS42321899,2018-08-02 22:14:42,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Monterey,US-CA-053,US-CA_142,,,,Elkhorn Slough Reserve (NERR),L353255,H,36.8182308,-121.7364764,1996-01-21,,obsr127466,S3004043,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS887726393,2024-09-09 23:58:16,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Monterey,US-CA-053,BIRDLIFE_29509|US-CA_121,,,,Andrew Molera SP--Big Sur River mouth,L109487,H,36.2819875,-121.8595805,1996-01-14,8:00:00,obsr332747,S66549174,Historical,P62,EBIRD,210,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS42321988,2018-08-02 22:14:44,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Monterey,US-CA-053,US-CA_142,,,,Elkhorn Slough Reserve (NERR),L353255,H,36.8182308,-121.7364764,1996-01-27,,obsr127466,S3004046,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS71621127,2023-12-21 11:00:39,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,BIRDLIFE_26213|US-CA_205,32,USFWS_5,,Seal Beach NWR (restricted access),L332226,H,33.7457864,-118.0769491,1996-01-20,6:30:00,obsr125809,S5082619,Traveling,P22,EBIRD,180,16.093,,2,1,,0,1,0,,,
