GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS100030229,2021-03-19 0:26:44,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Contra Costa,US-CA-013,US-CA_149,,,,Pt. Pinole Regional Park,L109308,H,38.0033321,-122.361002,1998-01-28,7:45:00,obsr194146,S7004660,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS966538798,2021-04-01 2:55:12,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Contra Costa,US-CA-013,,32,,,EBMUD--Valle Vista Staging Area (permit required),L596210,H,37.821243,-122.1393013,1998-01-17,,obsr446315,S72289178,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS100029997,2023-10-22 3:45:11,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,"southeast corner region Salton Sea, Imperial",L782211,P,33.1697436,-115.5899048,1998-01-25,13:00:00,obsr194146,S7004646,Traveling,P22,EBIRD,300,24.14,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS643046982,2024-09-09 22:59:09,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,2,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Salton Sea--Wister Unit,L673458,H,33.2806736,-115.5796909,1998-01-07,,obsr38671,S47448306,Historical,P62,EBIRD,,,,,1,G3363971,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS427194672,2016-09-03 11:26:47,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Salton Sea--Davis Rd.,L992696,H,33.2304315,-115.5797768,1998-01-31,8:00:00,obsr607587,S31390215,Traveling,P22,EBIRD,120,1.609,,2,1,,0,1,0,,,Starting to build a nest on top of a utility pole.
URN:CornellLabOfOrnithology:EBIRD:OBS582595218,2020-06-26 11:13:23,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26228|US-CA_215,33,USFWS_181,,Salton Sea--south end (please use more specific locations),L326350,H,33.1923574,-115.6041527,1998-01-10,,obsr15219,S43220917,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS643058209,2024-09-09 22:59:09,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,2,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Salton Sea--Wister Unit,L673458,H,33.2806736,-115.5796909,1998-01-07,,obsr556755,S47449111,Historical,P62,EBIRD,,,,,1,G3363971,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS425840338,2016-08-27 20:28:22,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Salton Sea--Davis Rd.,L992696,H,33.2304315,-115.5797768,1998-01-31,8:00:00,obsr405988,S31280746,Traveling,P22,EBIRD,120,1.609,,2,1,,0,1,0,,,Starting to build a nest on top of a utility pole.
URN:CornellLabOfOrnithology:EBIRD:OBS1248390164,2022-10-08 0:56:03,7739,issf,avibase-F78E8D2B,Osprey,Pandion haliaetus,Osprey (American),Pandion haliaetus carolinensis,,1,,,,,United States,US,California,US-CA,Imperial,US-CA-025,,33,,,Laguna Division Conservation Area (CA),L2779263,H,32.8614255,-114.4701777,1998-01-02,,obsr162737,S95463274,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,1
URN:CornellLabOfOrnithology:EBIRD:OBS1248374586,2021-10-12 9:29:43,7739,issf,avibase-F78E8D2B,Osprey,Pandion haliaetus,Osprey (American),Pandion haliaetus carolinensis,,1,,,,,United States,US,California,US-CA,Imperial,US-CA-025,BIRDLIFE_26227|US-CA_269,33,,,Salton Sea--Poe Rd.,L686135,H,33.0972222,-115.7527256,1998-01-02,,obsr162737,S95462722,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,1
URN:CornellLabOfOrnithology:EBIRD:OBS47942788,2021-10-20 9:01:47,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Sepulveda Basin--East of Woodley Ave,L194688,H,34.1767221,-118.4737308,1998-01-04,,obsr115938,S3496788,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS70081474,2021-10-20 9:01:47,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Sepulveda Basin--East of Woodley Ave,L194688,H,34.1767221,-118.4737308,1998-01-19,10:15:00,obsr21348,S4973268,Traveling,P22,EBIRD,90,1.609,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS80256585,2023-08-31 17:49:09,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,3,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Frank G. Bonelli RP/Puddingstone Reservoir and vicinity,L815817,H,34.0870104,-117.8050125,1998-01-31,,obsr190782,S5680769,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,3 fishing over lake; watched one dive into the shallows and come out with a large fish
URN:CornellLabOfOrnithology:EBIRD:OBS607702291,2023-11-02 15:29:46,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,El Dorado Regional Park,L304993,H,33.8148106,-118.088522,1998-01-11,8:00:00,obsr113508,S45085634,Traveling,P22,EBIRD,300,6.437,,2,1,,0,1,0,,"Mostly sunny, pleasant temperature. With Bill Myers.",
URN:CornellLabOfOrnithology:EBIRD:OBS436448982,2016-10-16 4:58:38,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Marin,US-CA-041,US-CA_135,32,,,Bolinas Lagoon,L624621,H,37.9197585,-122.6753139,1998-01-10,,obsr86424,S32057791,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,On a post inside lagoon; eating a fish. Seen before. No records.
URN:CornellLabOfOrnithology:EBIRD:OBS844024330,2024-09-09 23:42:08,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Marin,US-CA-041,,32,,,Hamilton Wetlands,L2837420,H,38.0578151,-122.5078261,1998-01-23,8:30:00,obsr227080,S62777293,Traveling,P22,EBIRD,310,4.023,,1,1,,0,1,0,,Conducting surveys/habitat assessments for wetland restoration project,
