GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS56869258,2014-04-19 1:59:19,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Calaveras,US-CA-009,,32,,,Camanche Reservoir--south shore and trout ponds (CLV Co.),L594019,H,38.2130299,-120.9255695,1997-01-04,,obsr27456,S4110504,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS88081913,2022-02-10 6:06:13,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Contra Costa,US-CA-013,BIRDLIFE_29517|US-CA_164,32,,,Clifton Court Forebay,L373440,H,37.8362253,-121.5880108,1997-01-29,8:00:00,obsr194146,S6166891,Traveling,P22,EBIRD,60,1.609,,1,1,,0,1,0,,,"surprisingly, this species was extremely rare at this location in the years I birded it."
URN:CornellLabOfOrnithology:EBIRD:OBS158128762,2017-08-16 1:06:20,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Pleasant Valley Reservoir,L760658,H,37.4234802,-118.5381889,1997-01-10,7:30:00,obsr140586,S11111321,Traveling,P22,EBIRD,150,4.828,,2,1,G435966,0,1,0,,USFWS Bald Eagle Survey,
URN:CornellLabOfOrnithology:EBIRD:OBS156804072,2017-08-16 1:06:20,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Pleasant Valley Reservoir,L760658,H,37.4234802,-118.5381889,1997-01-10,7:30:00,obsr204942,S11010689,Traveling,P22,EBIRD,150,4.828,,2,1,G435966,0,1,0,,USFWS Bald Eagle Survey,
URN:CornellLabOfOrnithology:EBIRD:OBS977408128,2025-01-22 13:17:07,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,BIRDLIFE_26215|US-CA_193,32,,,Santa Catalina Island--Camp Cherry Valley,L3932647,H,33.4512604,-118.504106,1997-01-24,,obsr399562,S73264605,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS71164795,2013-09-30 13:38:59,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Malibu Creek SP,L305422,H,34.0991117,-118.7157119,1997-01-20,8:45:00,obsr21348,S5045239,Incidental,P20,EBIRD,,,,2,0,,0,1,0,,"Third(?)-year Bald Eagle well seen on telephone pole on E side of Las Virgenes Rd. just N of Mulholland. Long, heavy bill, white mottled breast, some white on upper back.  Still present when we passed back through at 1300 hr.",
URN:CornellLabOfOrnithology:EBIRD:OBS473129447,2023-07-31 20:06:58,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Mendocino,US-CA-045,,32,,,Hopland Research and Extension Center (Restricted Access),L2146581,H,39.0020417,-123.0847102,1997-01-14,,obsr22550,S35004887,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS473128223,2023-07-31 20:06:58,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Mendocino,US-CA-045,,32,,,Hopland Research and Extension Center (Restricted Access),L2146581,H,39.0020417,-123.0847102,1997-01-09,10:30:00,obsr22550,S35004813,Traveling,P22,EBIRD,120,6.437,,1,1,,0,1,0,,"Pt cldy, wind NW, T 50s",
URN:CornellLabOfOrnithology:EBIRD:OBS894866660,2020-04-14 12:39:15,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Mendocino,US-CA-045,,32,,,Ukiah WWTP,L333876,H,39.1124073,-123.1889513,1997-01-11,,obsr22550,S67176151,Historical,P62,EBIRD,,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS326174921,2024-09-09 21:59:29,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Merced,US-CA-047,,32,,,San Luis Reservoir Wildlife Area,L1805770,H,37.0714,-121.2,1997-01-09,,obsr2808,S23856541,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,
