region,species,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Nass,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Nass,Coho,Spawners,0.382734237,-0.019833121,arrows-left-right,0.024104236,arrow-up,164422.7221,2022,118911.2974,109051.223,4,31,1992-2022,20240719
Nass,Coho,Run Size,0.218136516,-0.017314105,arrows-left-right,0.016052318,arrow-up,318592.766,2022,261541.1014,286163.1656,4,31,1992-2022,20240719
Nass,Pink,Spawners,1.381526267,-0.004814921,arrows-left-right,0.024378411,arrow-up,513697.6823,2022,215701.0356,143308.5886,2,73,1950-2022,20240719
Nass,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,2,NA,NA,20240719
Nass,Sockeye,Spawners,0.127490955,0.016735229,arrow-up,-0.001702136,arrows-left-right,283243.4057,2022,251215.6789,266105.3858,5,41,1982-2022,20240719
Nass,Sockeye,Run Size,-0.403900994,-0.03010518,arrow-down,-0.015466702,arrow-down,405991.6249,2022,681080.8624,522749.2481,5,41,1982-2022,20240719
Nass,Steelhead,Spawners,-0.077043382,0.010255092,arrows-left-right,0.028078004,arrow-up,10366.4137,2022,11231.74534,14608.09055,5,29,1994-2022,20240719
Nass,Steelhead,Run Size,-0.253446709,-0.016149346,arrows-left-right,0.006783449,arrows-left-right,13478.49057,2022,18054.29127,18958.54837,5,29,1994-2022,20240719
Skeena,Chinook,Spawners,-0.512170917,-0.070437077,arrow-down,-0.014773838,arrow-down,23019.94273,2023,47188.54114,30930.67926,6,40,1984-2023,20240719
Skeena,Chinook,Run Size,NA,NA,,NA,,NA,NA,NA,NA,6,NA,NA,20240719
Skeena,Chum,Spawners,-0.89193486,-0.049741233,arrows-left-right,-0.062386621,arrow-down,504.9816165,2022,4672.937214,989.6709012,5,53,1970-2022,20240719
Skeena,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Skeena,Coho,Spawners,-0.120886371,-0.027107606,arrows-left-right,-0.00725129,arrow-down,70005.74187,2022,79632.18814,87535.20562,4,73,1950-2022,20240719
Skeena,Coho,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
