GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS232826656,2014-02-06 19:46:52,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,1996-01-22,12:15:00,obsr457152,S16822743,Traveling,P22,EBIRD,195,9.415,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS555459269,2022-01-28 11:52:59,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR--Auto Route & Visitor Center,L837268,H,39.4284385,-122.1564999,1996-01-26,,obsr178480,S40964454,Historical,P62,EBIRD,,,,1,0,,0,1,0,,and surrounding roads and locality,
URN:CornellLabOfOrnithology:EBIRD:OBS1248379528,2023-05-18 0:40:49,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,4,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,1996-01-06,,obsr162737,S95462880,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,4
URN:CornellLabOfOrnithology:EBIRD:OBS1793072508,2023-07-29 17:01:20,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Humboldt,US-CA-023,,5,,,Hoopa--Shoemaker Rd.,L1854354,H,41.0275336,-123.6643329,1996-01-28,,obsr18699,S145935554,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1173795360,2021-07-08 1:13:06,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Humboldt,US-CA-023,,5,,,Humboldt County,L15213942,P,40.8937263,-124.0122275,1996-01-20,11:00:00,obsr292565,S89485957,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS163976571,2018-08-02 22:14:40,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Pleasant Valley Reservoir,L760658,H,37.4234802,-118.5381889,1996-01-15,11:20:00,obsr140586,S11600249,Traveling,P22,EBIRD,210,4.828,,2,1,G464912,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS163967964,2018-08-02 22:14:40,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Pleasant Valley Reservoir,L760658,H,37.4234802,-118.5381889,1996-01-15,11:20:00,obsr204942,S11599834,Traveling,P22,EBIRD,210,4.828,,2,1,G464912,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS465935574,2023-07-31 20:06:58,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Mendocino,US-CA-045,,32,,,Hopland Research and Extension Center (Restricted Access),L2146581,H,39.0020417,-123.0847102,1996-01-29,12:00:00,obsr22550,S34384615,Historical,P62,EBIRD,,,,1,1,,0,1,0,,"Cloudy approaching storm, wind S, T 50",
URN:CornellLabOfOrnithology:EBIRD:OBS1059724688,2021-01-27 10:58:54,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Merced,US-CA-047,,32,,,Lone Tree Road,L13404983,P,37.1788459,-120.5824055,1996-01-13,,obsr128530,S79914382,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1059761932,2024-06-30 16:27:32,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Merced,US-CA-047,,32,,,W. Sandy Mush Rd--E of Merced NWR: Homen Dairy and vernal pools,L1074298,H,37.1864,-120.5877,1996-01-14,,obsr128530,S79916505,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
