GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS454174698,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,2017-01-01,10:30:00,obsr47344,S33421801,Stationary,P21,EBIRD,255,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS453400308,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Pacific Commons Linear Park,L791702,H,37.4951201,-121.9796026,2017-01-01,9:15:00,obsr240927,S33358037,Traveling,P22,EBIRD,60,1.609,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1159820886,2021-05-18 0:46:38,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Mission Peak (ALA Co.),L1348994,H,37.5077502,-121.8961933,2017-01-15,,obsr2013301,S88435614,Incidental,P20,EBIRD,,,,2,0,,0,1,0,,,Seen near the trailhead
URN:CornellLabOfOrnithology:EBIRD:OBS453211256,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Chain of Lakes,L5204088,P,37.6868314,-121.8387222,2017-01-01,8:30:00,obsr34360,S33342057,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS453248717,2024-09-09 22:28:37,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,32,USFWS_608,,Warm Springs vernal pools,L3543401,H,37.4822842,-121.9657087,2017-01-01,10:15:00,obsr297774,S33345366,Traveling,P22,EBIRD,130,4.023,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS461102071,2021-04-01 2:10:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Shadow Cliffs Regional Park,L391767,H,37.6692148,-121.8406105,2017-01-28,8:15:00,obsr34360,S33994777,Traveling,P22,EBIRD,195,3.219,,1,1,,0,1,0,,Ohlone Audubon Field Trip,
URN:CornellLabOfOrnithology:EBIRD:OBS456474813,2022-02-08 23:47:19,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,"Male, Adult (1); Female, Adult (1)",United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Lake Chabot Marina,L3596343,P,37.71695,-122.10432,2017-01-11,16:10:00,obsr231136,S33613584,Traveling,P22,EBIRD,25,0.161,,1,0,,0,1,0,,Brief stop from Cull Canyon to snack at the Marina cafe and check for BAEA and reported TRSW,"Adult Pair perched together on usual eucalyptus branch in distant north from the Marina boat docks.  Better seen thru scope but white heads, white tails and dark bodies clearly seen thru binocs."
URN:CornellLabOfOrnithology:EBIRD:OBS457919705,2017-01-16 17:04:14,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Pacific Commons Linear Park,L791702,H,37.4951201,-121.9796026,2017-01-06,13:00:00,obsr437454,S33728310,Traveling,P22,EBIRD,45,1.609,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS460446369,2022-02-08 23:47:19,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,"Male, Adult (1); Female, Adult (1)",United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Lake Chabot Marina,L3596343,P,37.71695,-122.10432,2017-01-25,16:15:00,obsr231136,S33939378,Traveling,P22,EBIRD,30,0.161,,1,1,,0,1,0,,"Partly sunny, cool.  Extremely high lake level.","sharing a different distant eucalyptus perch just below the far distant electrical towers on the opposite (north) side of the lake.  Both adults, assuming pair bond."
URN:CornellLabOfOrnithology:EBIRD:OBS461044212,2021-03-18 0:43:01,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Shadow Cliffs Regional Park,L391767,H,37.6692148,-121.8406105,2017-01-28,8:22:00,obsr159439,S33989951,Traveling,P22,EBIRD,189,4.023,,20,1,G2175557,0,1,0,,OAS FIELD TRIP,
