GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1248378746,2023-05-18 1:22:33,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,1998-01-04,,obsr162737,S95462863,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,1 imm
URN:CornellLabOfOrnithology:EBIRD:OBS562298342,2022-10-21 9:07:10,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR--Auto Route & Visitor Center,L837268,H,39.4284385,-122.1564999,1998-01-04,,obsr150556,S41480333,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS111537571,2024-09-10 0:05:09,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,1998-01-15,6:00:00,obsr239475,S7791291,Area,P23,EBIRD,720,,404.6856,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS88425866,2021-10-20 9:01:47,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Sepulveda Basin--East of Woodley Ave,L194688,H,34.1767221,-118.4737308,1998-01-17,8:00:00,obsr209089,S6186981,Traveling,P22,EBIRD,180,2.414,,2,1,,0,1,0,,Exotics: 1 Greylag goose; 2 Muscovy Ducks.--With Ian Swift.,Present several weeks.
URN:CornellLabOfOrnithology:EBIRD:OBS47942790,2021-10-20 9:01:47,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Sepulveda Basin--East of Woodley Ave,L194688,H,34.1767221,-118.4737308,1998-01-04,,obsr115938,S3496788,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS70081497,2021-10-20 9:01:47,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,Sepulveda Basin--East of Woodley Ave,L194688,H,34.1767221,-118.4737308,1998-01-19,10:15:00,obsr21348,S4973268,Traveling,P22,EBIRD,90,1.609,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1639680910,2023-02-22 20:30:27,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Modoc,US-CA-049,US-CA_112,9,USFWS_830,,Tule Lake NWR (MOD Co.),L644320,H,41.871,-121.4326,1998-01-02,,obsr553346,S129402758,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS217703726,2024-02-17 14:14:09,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Monterey,US-CA-053,BIRDLIFE_29514|US-CA_153,32,,,Lake San Antonio--north end and/or Pleyto,L384207,H,35.8637349,-120.9920883,1998-01-18,12:30:00,obsr168237,S15670666,Historical,P62,EBIRD,,,,3,0,,0,1,0,,,"One adult seen perched in tree on south side of lake. Seen on both legs of boat trip. Possibly at least one other seen on north side, further in to boat tour"
URN:CornellLabOfOrnithology:EBIRD:OBS34355362,2010-08-27 17:18:29,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Nevada,US-CA-057,,15,,,Truckee River Canyon in Nev. County,L355046,P,39.373783,-120.030783,1998-01-27,,obsr107139,S2516973,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS107962129,2015-07-01 16:57:45,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,,32,,,Anaheim Coves Park (aka Burris Basin),L1396236,H,33.8257044,-117.869868,1998-01-09,15:00:00,obsr192293,S7587122,Traveling,P22,EBIRD,60,0.805,,1,0,,0,1,0,,Refound Bald Eagle at Burris'' Pit,
URN:CornellLabOfOrnithology:EBIRD:OBS945236563,2020-06-19 19:33:45,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,,32,,,Anaheim Coves Park (aka Burris Basin),L1396236,H,33.8257044,-117.869868,1998-01-09,,obsr196748,S70612567,Historical,P62,EBIRD,,,,,0,,0,1,0,,,1st year along the river next to Burris Pit
URN:CornellLabOfOrnithology:EBIRD:OBS945673659,2023-12-28 16:27:43,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,BIRDLIFE_26213|US-CA_205,32,USFWS_5,,Anaheim Bay,L11466941,P,33.7308821,-118.08023,1998-01-24,,obsr196748,S70644253,Historical,P62,EBIRD,,,,1,0,,0,1,1,,Saw another Bald Eagle at Anaheim Bay...,"One of at least 5 in OC this winter, which was the most recorded here in decades...(see DRW's seasonal report for NAS Field Notes)."
URN:CornellLabOfOrnithology:EBIRD:OBS50839166,2023-10-22 4:50:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Riverside,US-CA-065,BIRDLIFE_31373|US-CA_244,32,,,San Jacinto Wildlife Area,L163561,H,33.8854488,-117.104104,1998-01-24,8:30:00,obsr116502,S3662601,Traveling,P22,EBIRD,450,9.656,,1,1,,0,1,0,,,
