GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS895149656,2021-03-25 11:09:59,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alpine,US-CA-003,,15,,,"Diamond Valley Rd, Markleeville US-CA",L11153174,P,38.767892,-119.813803,1995-01-16,8:00:00,obsr1285479,S67217605,Incidental,P20,EBIRD,,,,4,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS56869720,2023-11-02 15:25:17,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Calaveras,US-CA-009,,32,,,Camanche Reservoir--south shore and trout ponds (CLV Co.),L594019,H,38.2130299,-120.9255695,1995-01-05,,obsr27456,S4110519,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS885300238,2020-03-31 15:22:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Colusa,US-CA-011,US-CA_231,32,,,flooded field near Hwy 20 split,L11045472,P,39.1502246,-121.9667375,1995-01-22,,obsr224810,S66347069,Historical,P62,EBIRD,,,,2,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS484884952,2020-05-10 14:50:48,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,El Dorado,US-CA-017,,15,,,Pollock Pines-El Dorado Freeway,L5687859,P,38.7661011,-120.5563025,1995-01-22,,obsr182152,S35904878,Historical,P62,EBIRD,,,,1,0,,0,1,0,,,Adult
URN:CornellLabOfOrnithology:EBIRD:OBS536744278,2022-10-21 9:14:47,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,1995-01-14,,obsr546014,S39453129,Historical,P62,EBIRD,,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS537796937,2024-09-09 22:41:32,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,1995-01-15,,obsr546014,S39521384,Historical,P62,EBIRD,,,,2,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS30443897,2024-12-22 17:33:01,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,"Male, Unknown Age (1); Unknown Sex, Immature (1)",United States,US,California,US-CA,Humboldt,US-CA-023,BIRDLIFE_29500|US-CA_43,5,USFWS_310,,Humboldt Bay NWR--Hookton Slough Unit,L373401,H,40.6773021,-124.2222512,1995-01-19,9:10:00,obsr34879,S2234644,Traveling,P22,EBIRD,120,1.609,,10,1,G321794,0,1,0,,"Redwood Region Audubon trip leaders David Fix, Jude Power.  Walked out Hookton Slough dike to the west.",
URN:CornellLabOfOrnithology:EBIRD:OBS132401977,2024-12-22 17:33:01,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Humboldt,US-CA-023,BIRDLIFE_29500|US-CA_43,5,USFWS_310,,Humboldt Bay NWR--Hookton Slough Unit,L373401,H,40.6773021,-124.2222512,1995-01-19,9:10:00,obsr185433,S9295357,Traveling,P22,EBIRD,120,1.609,,10,1,G321794,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS536746920,2018-08-02 22:12:04,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Lake,US-CA-033,US-CA_41,32,,,Clear Lake SP,L390597,H,39.0123815,-122.8089523,1995-01-16,,obsr546014,S39453322,Historical,P62,EBIRD,,,,2,0,,0,1,0,,,eating
URN:CornellLabOfOrnithology:EBIRD:OBS34346733,2022-10-21 8:58:27,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,3,,,,,United States,US,California,US-CA,Lassen,US-CA-035,US-CA_111,9,,,Honey Lake,L109447,H,40.2542012,-120.340849,1995-01-20,,obsr107139,S2516067,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1205653753,2021-07-23 17:24:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Modoc,US-CA-049,US-CA_114,9,USFWS_307,,Modoc NWR,L589213,H,41.4575229,-120.5219078,1995-01-01,,obsr2013301,S92192614,Historical,P62,EBIRD,,,,4,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS128676540,2020-07-25 15:15:33,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Mono,US-CA-051,US-CA_183,9,,,Mono Lake County Park,L270903,H,38.0152767,-119.1486168,1995-01-27,8:00:00,obsr243062,S8988310,Traveling,P22,EBIRD,180,3.219,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS55293344,2024-02-17 14:14:09,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,5,,,,,United States,US,California,US-CA,Monterey,US-CA-053,BIRDLIFE_29514|US-CA_153,32,,,Lake San Antonio--north end and/or Pleyto,L384207,H,35.8637349,-120.9920883,1995-01-12,12:30:00,obsr107968,S3976642,Stationary,P21,EBIRD,45,,,1,0,,0,1,0,,"EUWI were both males among the 85 (exact count) AMWI. The CAGO flock is of wild migrants, not the introduced pop (prob. wild moffitti). BAEA were 4 ad, 1 imm. All these were at north shore. Horned Grebe was at dam with many EAGR; rare here, details in notes",
URN:CornellLabOfOrnithology:EBIRD:OBS773715764,2019-06-10 21:12:55,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Napa,US-CA-055,US-CA_47,32,,,Lake Hennessey,L190006,H,38.4878242,-122.3693016,1995-01-19,,obsr110533,S31654123,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS895153076,2020-04-14 20:09:10,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Sacramento,US-CA-067,,32,,,Scott Rd.--south,L594216,H,38.550045,-121.1137962,1995-01-17,8:00:00,obsr1285479,S67217840,Incidental,P20,EBIRD,,,,4,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2815273320,2025-02-09 22:36:42,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,32,,,Big Bear Lake,L225958,H,34.2543329,-116.9284029,1995-01-31,,obsr357750,S210682106,Historical,P62,EBIRD,,,,,1,,0,1,0,,,2 /MC/FS/L&gt;5000 /   / Big Bear Lake / San Bernardino Co. / California / United States / North America  /
URN:CornellLabOfOrnithology:EBIRD:OBS1875049595,2023-11-13 23:37:18,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Santa Clara,US-CA-085,US-CA_140,32,,,Marsh Rd.,L1458006,H,37.4492587,-121.8022403,1995-01-17,,obsr375509,S154420847,Historical,P62,EBIRD,,,,1,0,,0,1,0,,,"Immatures, seen both in flight and perched"
URN:CornellLabOfOrnithology:EBIRD:OBS33687625,2024-02-29 10:46:59,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Shasta,US-CA-089,,32,,,895 LAKEVIEW DRIVE,L348673,P,40.59,-122.4013889,1995-01-16,,obsr27501,S2461124,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS34375998,2021-03-25 12:52:38,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,3,,,,,United States,US,California,US-CA,Sierra,US-CA-091,US-CA_187,15,,,Sierra Valley (Sierra),L355000,P,39.589583,-120.3669,1995-01-17,,obsr107139,S2518849,Incidental,P20,EBIRD,,,,,1,,0,1,0,,,
