GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS39388700,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Reservoire,L351174,P,37.5061637,-121.8330946,2007-03-05,17:30:00,obsr37690,S2821324,Stationary,P21,EBIRD,20,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS40314668,2010-08-27 17:08:08,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Reservoire,L351174,P,37.5061637,-121.8330946,2007-04-04,7:00:00,obsr37690,S2876735,Stationary,P21,EBIRD,15,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS41109578,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,4,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Reservoire,L351174,P,37.5061637,-121.8330946,2007-04-30,15:10:00,obsr37690,S2924204,Stationary,P21,EBIRD,120,,,,1,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS41852124,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Reservoire,L351174,P,37.5061637,-121.8330946,2007-06-04,16:35:00,obsr37690,S2968912,Stationary,P21,EBIRD,25,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS701220348,2019-10-19 16:32:53,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alpine,US-CA-003,,15,,,Duck Lake,L8471491,P,38.4753403,-119.9737267,2007-02-18,8:45:00,obsr91624,S51911803,Historical,P62,EBIRD,10,0,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS198734664,2013-05-25 19:30:34,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alpine,US-CA-003,,15,,,bear valley,L2191026,P,38.4714395,-120.0441447,2007-09-01,12:30:00,obsr115141,S14241501,Incidental,P20,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS128900773,2018-08-02 23:57:51,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alpine,US-CA-003,,15,,,Indian Creek Reservoir,L272916,H,38.7460172,-119.7780132,2007-09-04,9:00:00,obsr252289,S9013091,Traveling,P22,EBIRD,120,2.414,,2,1,G562238,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS184429539,2018-08-02 23:57:51,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alpine,US-CA-003,,15,,,Indian Creek Reservoir,L272916,H,38.7460172,-119.7780132,2007-09-04,9:00:00,obsr142799,S13294941,Traveling,P22,EBIRD,120,2.414,,2,1,G562238,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS71814909,2021-03-25 11:10:15,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Amador,US-CA-005,,32,,,Camanche Reservoir--north shore (AMA Co.),L617736,H,38.2311012,-120.9568977,2007-01-20,8:00:00,obsr26981,S5096489,Traveling,P22,EBIRD,120,16.093,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS574943194,2018-02-06 16:09:20,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Amador,US-CA-005,,15,,,Silver Lake (AMA Co.),L382992,H,38.6709026,-120.1133537,2007-07-03,,obsr242719,S42544641,Historical,P62,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS128058123,2017-08-16 3:48:10,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Butte,US-CA-007,,32,,,"SH 99 Corridor (BUT Co., SH 32 to SH 162)",L1290628,P,39.6492486,-121.7264557,2007-01-06,9:00:00,obsr26970,S8950735,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,Keeping track of year birds only.,
URN:CornellLabOfOrnithology:EBIRD:OBS36467394,2022-10-23 12:03:54,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Butte,US-CA-007,US-CA_231,32,,,Gray Lodge Wildlife Area,L368257,H,39.322878,-121.8361473,2007-01-27,,obsr18699,S2670551,Incidental,P20,EBIRD,,,,5,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS700915188,2019-01-20 23:43:26,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Butte,US-CA-007,US-CA_231,32,,,Gray Lodge Wildlife Area,L368257,H,39.322878,-121.8361473,2007-01-31,8:45:00,obsr91624,S51886428,Historical,P62,EBIRD,10,0,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS40381384,2013-06-11 17:32:28,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Butte,US-CA-007,US-CA_231,32,,,Gray Lodge Wildlife Area,L368257,H,39.322878,-121.8361473,2007-01-15,,obsr122451,S2880512,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS144050917,2021-03-25 13:09:07,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Butte,US-CA-007,,32,,,Thermalito Afterbay (use specific hotspots when possible),L489492,H,39.4768831,-121.6739273,2007-01-14,12:30:00,obsr237676,S10139917,Traveling,P22,EBIRD,90,3.219,,2,0,G371984,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS144152681,2021-03-25 13:09:07,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Butte,US-CA-007,,32,,,Thermalito Afterbay (use specific hotspots when possible),L489492,H,39.4768831,-121.6739273,2007-01-14,12:30:00,obsr304418,S10147145,Traveling,P22,EBIRD,90,3.219,,2,0,G371984,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS37797017,2018-08-02 23:49:01,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Butte,US-CA-007,,32,,,Oroville Wildlife Area,L379919,P,39.5042559,-121.5579915,2007-02-18,12:00:00,obsr118388,S2740186,Traveling,P22,EBIRD,270,1.609,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS43391362,2016-08-09 15:21:38,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Butte,US-CA-007,,32,,,Feather River Nature Trail,L454535,P,39.5159602,-121.5578842,2007-09-21,16:30:00,obsr118388,S3098284,Traveling,P22,EBIRD,120,1.609,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS143871770,2023-10-22 4:01:12,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Butte,US-CA-007,US-CA_231,32,,,Gray Lodge Wildlife Area,L368257,H,39.322878,-121.8361473,2007-12-08,10:00:00,obsr26970,S10128329,Traveling,P22,EBIRD,390,4.828,,9,1,,0,1,0,,"Tour for Marin Audubon Society.  A break of an hour after lunch to go off refuge, then come back.",1st-year
