GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS643451226,2021-04-20 17:44:15,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Butte,US-CA-007,,32,,,Rancho Llano Seco,L14532897,P,39.6035066,-121.9520736,2003-01-20,7:00:00,obsr218054,S47478596,Stationary,P21,EBIRD,180,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS622405013,2021-03-19 11:21:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Calaveras,US-CA-009,,32,,,Salt Springs,L7452864,P,38.2131895,-120.8087969,2003-01-12,7:00:00,obsr676414,S45944428,Traveling,P22,EBIRD,420,40.234,,8,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS188842416,2013-06-28 13:14:30,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Colusa,US-CA-011,US-CA_231,32,USFWS_686,,4-mile Road at Delevan NWR,L1536157,P,39.2864984,-122.1166411,2003-01-29,12:15:00,obsr26970,S13624363,Incidental,P20,EBIRD,,,,3,0,,0,1,0,,"See Sacramento NWR entry for this date. ""New birds and notes on some others.""",
URN:CornellLabOfOrnithology:EBIRD:OBS47331331,2022-10-21 9:10:42,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Colusa,US-CA-011,,32,,,Sacramento National Wildlife Reserve Complex,L485428,P,39.2460803,-122.1768951,2003-01-04,9:00:00,obsr141427,S3457433,Stationary,P21,EBIRD,120,4.828,16.1874,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS645220685,2018-08-02 22:52:59,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Contra Costa,US-CA-013,,32,,,Lafayette Reservoir,L212642,H,37.881609,-122.1425327,2003-01-02,7:00:00,obsr231462,S47614150,Historical,P62,EBIRD,30,,,2,1,,0,1,0,,With Bill Myers,
URN:CornellLabOfOrnithology:EBIRD:OBS511286204,2024-09-09 22:40:39,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,2003-01-27,9:00:00,obsr8242,S37606447,Historical,P62,EBIRD,390,,,2,1,,0,1,0,,,Sacramento NWR
URN:CornellLabOfOrnithology:EBIRD:OBS134328168,2022-10-21 8:31:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,2003-01-01,11:00:00,obsr41399,S9435681,Traveling,P22,EBIRD,180,4.828,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS188841006,2024-10-23 9:11:36,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,7,,,,"Unknown Sex, Adult (6); Unknown Sex, Immature (1)",United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,2003-01-29,8:05:00,obsr26970,S13624187,Traveling,P22,EBIRD,210,10.461,,3,1,,0,1,0,,"Tim Manolis, Bruce Webb, and myself.  We were looking for Tule Geese to photograph.  We drove the tour loop (6 miles) 3 times, but also looking along Road 68 a short distance.  Foggy, burning off by 10:00.  Bruce saw a Virginia Rail run across the parking lot.",immature was a 2-year old
URN:CornellLabOfOrnithology:EBIRD:OBS1198625192,2022-10-21 8:26:32,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,2003-01-04,,obsr2013301,S91570498,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS641724233,2023-03-07 15:28:19,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Humboldt,US-CA-023,BIRDLIFE_29500|US-CA_43,,,,Humboldt Bay--south,L109449,H,40.6991211,-124.2320251,2003-01-03,12:00:00,obsr235683,S47342032,Historical,P62,EBIRD,,,,2,0,,0,1,0,,,
