GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS50221227,2008-02-25 12:59:45,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,"little yosemite, sunol",L499989,P,37.5040065,-121.8217278,2008-02-16,16:00:00,obsr135433,S3619353,Incidental,P20,EBIRD,,,,2,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS184719216,2018-08-03 0:07:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2008-03-04,8:30:00,obsr142799,S13318282,Traveling,P22,EBIRD,120,1.609,,2,0,G563622,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS260694114,2024-06-29 6:12:02,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Emeryville,L2934448,P,37.8432409,-122.2973371,2008-03-23,,obsr293836,S18857631,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS788688448,2019-07-26 13:11:35,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Alameda,US-CA-001,US-CA_154,,,,MLK Jr. Regional Shoreline--Arrowhead Marsh,L161083,H,37.7421628,-122.2112274,2008-03-15,,obsr288062,S58469400,Historical,P62,EBIRD,,,,,0,,0,1,0,,one of many stops biking from Lake Merritt down to Union City along the east bay shoreline,"standing on the board walk, saw a raptor soaring east in the area near Garratson Point and realized right away it was an adult Bald Eagle.  Unfortunately is was out of sight fairly quickly"
URN:CornellLabOfOrnithology:EBIRD:OBS184717472,2018-08-03 0:08:25,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2008-03-14,8:30:00,obsr252289,S13318135,Traveling,P22,EBIRD,120,1.609,,2,0,G563622,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS52803451,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,2008-04-19,7:30:00,obsr107304,S3801647,Incidental,P20,EBIRD,420,,,14,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS54547033,2024-05-20 0:17:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L500926,P,37.58295,-121.692102,2008-05-31,8:00:00,obsr91486,S3911828,Traveling,P22,EBIRD,420,3.219,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS107960726,2011-02-11 18:43:14,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Lake Del Valle,L1076810,P,37.5913833,-121.7168427,2008-09-22,15:00:00,obsr159439,S7586997,Traveling,P22,EBIRD,120,3.219,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS58422338,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle - Launch Ramp,L296563,P,37.587044,-121.702457,2008-10-30,16:00:00,obsr91063,S4236113,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS59268690,2018-08-03 0:26:30,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Lake Del Valle rump,L610165,P,37.5863164,-121.7032492,2008-11-24,9:00:00,obsr122985,S4301503,Traveling,P22,EBIRD,165,3.219,,15,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS59321357,2021-04-01 2:10:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2008-11-25,9:20:00,obsr88430,S4305388,Traveling,P22,EBIRD,60,1.609,,1,1,,0,1,0,,"Adult Bald Eagle observed from south of the boat launch, flying north up the lake.",
URN:CornellLabOfOrnithology:EBIRD:OBS75283385,2016-08-09 15:13:40,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2008-12-20,11:50:00,obsr172295,S5360499,Traveling,P22,EBIRD,90,2.414,,1,1,,0,1,0,,"After leaving Dennis Rashé''s house and the HASP, I headed for Del Valle to find the Bald Eagle. I scanned the shoreline from a couple points, then parked at the marina and walked nearly to the end of the lake, where I encountered a man who spends a lot of he free time watching the eagles. The eagles were not there, so I headed back and scanned the far shore again--and found one of the birds in a tree. It would have been difficult to impossible without a scope.",
URN:CornellLabOfOrnithology:EBIRD:OBS154527171,2012-05-27 17:47:12,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Alpine,US-CA-003,,15,,,Pickett's Junction (Hwy 88 at Hwy 89),L980507,H,38.7771049,-119.9176598,2008-02-16,11:30:00,obsr273117,S10853517,Incidental,P20,EBIRD,,,,2,0,,0,1,0,,Driving with Claire Miller,Adult bird feeding on fish
URN:CornellLabOfOrnithology:EBIRD:OBS82367921,2018-08-03 0:15:27,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alpine,US-CA-003,,15,,,Lake Alpine,L725285,P,38.4781852,-120.0010872,2008-06-21,11:00:00,obsr166533,S5824378,Traveling,P22,EBIRD,60,0.805,,5,1,,0,1,0,,,
