GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS290719864,2024-09-09 21:55:59,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2015-01-12,9:30:00,obsr108152,S21322344,Traveling,P22,EBIRD,210,3.219,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS291545273,2015-01-17 20:21:08,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Lake Del Valle,L1076810,P,37.5913833,-121.7168427,2015-01-17,14:00:00,obsr240927,S21389059,Stationary,P21,EBIRD,15,,,1,1,,0,1,0,,,At the overlook at the end of the road past the campgrounds on the hillside where they have nested in the past. Adult bird.
URN:CornellLabOfOrnithology:EBIRD:OBS293467990,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Vargas Plateau Regional Park,L1915468,H,37.5751951,-121.9316769,2015-01-26,15:30:00,obsr297774,S21560617,Traveling,P22,EBIRD,60,1.609,,1,1,,1,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS292640785,2021-04-01 2:10:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Pacific Commons Linear Park,L791702,H,37.4951201,-121.9796026,2015-01-22,10:55:00,obsr50677,S21494872,Traveling,P22,EBIRD,85,3.38,,1,1,,0,1,0,,,Adult on a fence post along the field S of the park
URN:CornellLabOfOrnithology:EBIRD:OBS296249283,2024-05-12 0:23:44,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Juvenile (1)",United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Lawrence Livermore National Laboratory,L500362,H,37.6881675,-121.7030346,2015-02-06,7:30:00,obsr91486,S21780870,Stationary,P21,EBIRD,5,,,1,1,,0,1,0,,,"Soared east over hills, after perching near East Gate of LLNL--Photo by LLNL wildlife biologist Jim Woollett--<a href=""imagesiteurl""><img src=""https://iwebcms.llnl.gov/iweb-content-mgr/imageServlet?imageId=35369"" /></a>"
URN:CornellLabOfOrnithology:EBIRD:OBS299410765,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2015-02-24,11:54:00,obsr159439,S22057987,Traveling,P22,EBIRD,99,0.483,,1,1,,0,1,0,,"Equestrian overlook + Eagle's View <br />Submitted from BirdLog NA for iOS, version 1.8",On the nest
URN:CornellLabOfOrnithology:EBIRD:OBS299288847,2021-04-01 2:10:03,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Pacific Commons Linear Park,L791702,H,37.4951201,-121.9796026,2015-02-23,11:15:00,obsr50677,S22049116,Traveling,P22,EBIRD,85,4.667,,1,1,,0,1,0,,Submitted from  BirdLog World for Android v1.9.3,adult
URN:CornellLabOfOrnithology:EBIRD:OBS300079560,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2015-02-28,7:45:00,obsr34360,S22109805,Traveling,P22,EBIRD,195,8.047,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS297623030,2024-01-11 11:39:44,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Scott St 1,L3278329,P,37.534939,-121.926362,2015-02-16,11:48:00,obsr170583,S21904713,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,"General impression was large, dark raptor, with brilliant white head and tail. In same general area as 2 red tail Hawks and one turkey vulture. Significantly larger than other raptors, flat wings. Flying northeast towards hills <br />Submitted from BirdLog NA for iOS, version 1.8",
URN:CornellLabOfOrnithology:EBIRD:OBS299366179,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Pacific Commons Linear Park,L791702,H,37.4951201,-121.9796026,2015-02-24,7:55:00,obsr293948,S22054718,Traveling,P22,EBIRD,100,0.805,,1,1,,0,1,0,,"<br />Submitted from BirdLog NA for iOS, version 1.8",Adult
